extract_timestamp|origin|destination|depart_date|best_price
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-25|2310582.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-04|2310582.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-27|2310582.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-29|2310582.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-01|2316313.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-24|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-02|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-03|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-26|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-09|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-05|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-28|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-06|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-07|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-08|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-12|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-13|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-30|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-10|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-11|2474980.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-23|2598280.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-16|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-17|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-18|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-19|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-20|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-21|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-22|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-14|2894120.0
2022-12-24 11:25:37.656571|JKTC|BTJ|2023-04-15|2894120.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-16|2248080.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-30|2248080.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-18|2302380.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-26|2339200.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-29|2505580.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-09|2507780.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-15|2507780.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-17|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-03|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-25|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-05|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-27|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-06|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-28|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-08|2573280.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-01|2632200.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-24|2639880.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-10|2764430.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-19|2767600.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-12|2869250.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-04|2934650.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-13|2934650.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-14|3161830.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-23|3674950.0
